Date,Open,High,Low,Close,Volume
2015-01-02,4760.24,4777.01,4698.11,4726.81,367738144
2015-01-05,4700.34,4702.77,4641.46,4652.57,476454400
2015-01-06,4666.85,4667.33,4567.6,4592.74,553615808
2015-01-07,4626.84,4652.72,4613.9,4650.47,482505472
2015-01-08,4689.54,4741.38,4688.02,4736.19,548099008
2015-01-09,4744.47,4744.71,4681.24,4704.07,430668480
2015-01-12,4714.07,4715.81,4650.65,4664.71,491280896
2015-01-13,4708.74,4751.34,4624.28,4661.5,566516736
2015-01-14,4610.76,4655.37,4595.98,4639.32,527383584
2015-01-15,4657.46,4663.96,4567.39,4570.82,525693664
2015-01-16,4566.38,4635.82,4563.11,4634.38,548599552
2015-01-20,4655.84,4665.65,4601.1,4654.85,473619648
2015-01-21,4641.95,4692.46,4629.59,4667.42,463216768
2015-01-22,4690.93,4752.6,4644.57,4750.4,515532800
2015-01-23,4748.19,4771.18,4737.95,4757.88,414941152
2015-01-26,4752.36,4774.18,4734.2,4771.76,460886720
2015-01-27,4698.23,4721.88,4659.83,4681.5,469343360
2015-01-28,4740.69,4742.06,4637.48,4637.99,534446816
2015-01-29,4635.73,4688.41,4601.76,4683.41,529674048
2015-01-30,4671.2,4703.81,4631.1,4635.24,638807872
2015-02-02,4650.6,4676.69,4580.46,4676.69,525393568
2015-02-03,4693.25,4727.74,4670.82,4727.74,553797440
2015-02-04,4699.81,4744.33,4697.79,4716.7,549869952
2015-02-05,4729.65,4767.38,4722.8,4765.1,501774528
2015-02-06,4768.85,4787.19,4731.22,4744.4,494103008
2015-02-09,4723.73,4749.47,4719.61,4726.01,411221440
2015-02-10,4754.62,4793.27,4737.12,4787.65,441959232
2015-02-11,4788.37,4810.36,4780.13,4801.18,433804352
2015-02-12,4828.08,4857.61,4823.57,4857.61,480016512
2015-02-13,4869.73,4893.84,4860.12,4893.84,455860448
2015-02-17,4889.98,4901.89,4880.64,4899.27,450146688
2015-02-18,4890.84,4907.5,4885.6,4906.36,410197632
2015-02-19,4901.51,4929.53,4900.63,4924.7,380206240
2015-02-20,4919.78,4957.02,4905.59,4955.97,456717664
2015-02-23,4953.1,4960.97,4939.56,4960.97,452048352
2015-02-24,4956.21,4971.18,4945.14,4968.12,429639008
2015-02-25,4960.36,4984.24,4955.99,4967.14,422943936
2015-02-26,4969.27,4989.11,4955.51,4987.89,437964864
2015-02-27,4985.03,4989.25,4960.88,4963.53,485689152
2015-03-02,4973.43,5008.57,4972.01,5008.1,468541664
2015-03-03,4990.7,4996.66,4956.07,4979.9,481226656
2015-03-04,4961.24,4973.32,4938.9,4967.14,433194336
2015-03-05,4979.95,4993.52,4963.1,4982.81,417033312
2015-03-06,4967.24,4982.93,4918.62,4927.37,462812448
2015-03-09,4936.08,4950.47,4920.82,4942.44,405494432
2015-03-10,4899.51,4903.44,4859.8,4859.8,460955648
2015-03-11,4866.94,4876.09,4846.79,4849.94,456592288
2015-03-12,4853.98,4895.8,4853.2,4893.29,451952000
2015-03-13,4885.54,4904.47,4842.8,4871.76,439585472
2015-03-16,4897.27,4929.94,4889.09,4929.51,417726336
2015-03-17,4912.65,4944.91,4907.02,4937.44,415815456
2015-03-18,4926.83,5001.57,4907.72,4982.83,473041888
2015-03-19,4982.02,5000.02,4979.94,4992.38,388563296
2015-03-20,5033.47,5042.14,5020.06,5026.42,1069260864
2015-03-23,5020.6,5031.39,5010.97,5010.97,394239936
2015-03-24,5010.1,5032.48,4994.56,4994.73,383803552
2015-03-25,5002.83,5006.76,4876.52,4876.52,518105408
2015-03-26,4835.72,4889.21,4825.93,4863.36,488336544
2015-03-27,4863.74,4899.26,4859.65,4891.22,429394912
2015-03-30,4921.78,4948.46,4921.12,4947.44,419655328
2015-03-31,4925.91,4940.87,4899.31,4900.88,509763008
2015-04-01,4894.36,4899.38,4844.39,4880.23,457083424
2015-04-02,4885.41,4901.32,4872.96,4886.94,383825184
2015-04-06,4855.94,4929.62,4852.91,4917.32,466904416
2015-04-07,4917.5,4948.88,4909.77,4910.23,373964128
2015-04-08,4914.15,4956.72,4914.15,4950.82,409413728
2015-04-09,4950.84,4975.93,4928.11,4974.56,387111680
2015-04-10,4977.03,4996.08,4970.02,4995.98,341083872
2015-04-13,5001.56,5024.25,4985.96,4988.25,369220544
2015-04-14,4988.82,4996.82,4952.01,4977.29,364235936
2015-04-15,4992.62,5021.19,4989.24,5011.02,425846976
2015-04-16,4999.36,5016.0,4996.0,5007.79,383966336
2015-04-17,4966.11,4974.09,4912.32,4931.81,505999328
2015-04-20,4958.07,5000.2,4952.68,4994.6,386630304
2015-04-21,5023.96,5028.22,5009.51,5014.1,381514944
2015-04-22,5026.57,5040.65,4992.62,5035.17,398296096
2015-04-23,5020.22,5073.09,5019.3,5056.06,435928576
2015-04-24,5096.34,5100.37,5081.21,5092.09,467318912
2015-04-27,5104.36,5119.83,5053.54,5060.25,506276992
2015-04-28,5063.26,5075.3,5006.28,5055.42,476104960
2015-04-29,5028.45,5053.85,4999.83,5023.64,443705152
2015-04-30,4996.99,5015.96,4921.56,4941.42,591667136
2015-05-01,4966.32,5005.39,4962.74,5005.39,461132352
2015-05-04,5018.35,5043.62,5013.02,5016.93,415232736
2015-05-05,5000.19,5008.27,4934.34,4939.33,479749856
2015-05-06,4956.7,4965.1,4888.17,4919.64,496020608
2015-05-07,4917.75,4957.12,4914.53,4945.54,470259008
2015-05-08,4991.63,5014.33,4989.26,5003.55,450650464
2015-05-11,5003.26,5017.38,4992.02,4993.57,410319136
2015-05-12,4966.44,4995.5,4931.6,4976.19,403841568
