Date,Open,High,Low,Close,Volume
2015-01-05,16716.0,16927.0,16558.0,16822.0,534023
2015-01-06,16822.0,17929.0,16822.0,17929.0,2901891
2015-01-07,17982.0,18245.0,17454.0,17718.0,2463903
2015-01-08,17771.0,18456.0,17718.0,18245.0,1557643
2015-01-09,18404.0,19511.0,18404.0,19458.0,3939034
2015-01-12,19511.0,19933.0,19353.0,19616.0,5270690
2015-01-13,19511.0,19669.0,19247.0,19511.0,2577491
2015-01-14,19405.0,20091.0,19405.0,19722.0,4028850
2015-01-15,19616.0,19933.0,19405.0,19405.0,1866919
2015-01-16,19405.0,19405.0,19036.0,19142.0,1167974
2015-01-19,19195.0,19616.0,18667.0,18667.0,1589270
2015-01-20,18667.0,19036.0,18614.0,18984.0,1382197
2015-01-21,18984.0,18984.0,18667.0,18667.0,924347
2015-01-22,18667.0,19458.0,18404.0,19089.0,3280364
2015-01-23,19247.0,20038.0,19142.0,19564.0,2358807
2015-01-26,19564.0,19775.0,19300.0,19300.0,858836
2015-01-27,19247.0,19405.0,18720.0,19142.0,1790832
2015-01-28,19142.0,19827.0,18984.0,19722.0,2311436
2015-01-29,19722.0,19722.0,19405.0,19458.0,1019572
2015-01-30,19405.0,19405.0,18773.0,18825.0,2000214
2015-02-02,18720.0,19036.0,18667.0,18825.0,1047633
2015-02-03,18773.0,18878.0,17560.0,17560.0,2571324
2015-02-04,17138.0,17560.0,16822.0,17454.0,2352847
2015-02-05,17665.0,18456.0,17665.0,18404.0,1403316
2015-02-06,18456.0,18984.0,18456.0,18984.0,1186389
2015-02-09,18878.0,19353.0,18720.0,19089.0,1741962
2015-02-10,19195.0,19458.0,19142.0,19195.0,1021450
2015-02-11,19195.0,19669.0,19142.0,19564.0,916044
2015-02-12,19722.0,19722.0,19142.0,19142.0,996696
2015-02-13,19142.0,19405.0,19142.0,19247.0,668885
2015-02-24,19511.0,20566.0,19353.0,20566.0,1744167
2015-02-25,20513.0,21040.0,20091.0,20091.0,1534664
2015-02-26,20302.0,21040.0,20249.0,20776.0,1276016
2015-02-27,20829.0,20829.0,19985.0,20249.0,1209248
2015-03-02,20196.0,20407.0,19880.0,20249.0,535625
2015-03-03,20196.0,20566.0,20038.0,20302.0,973648
2015-03-04,20460.0,20460.0,20091.0,20460.0,768762
2015-03-05,20407.0,20407.0,19985.0,19985.0,1193279
2015-03-06,19933.0,20038.0,19353.0,19669.0,2431157
2015-03-09,19669.0,19669.0,19036.0,19195.0,2033460
