Stock Name,CTG,CTG,CTG,CTG,CTG,CTG,ACB,ACB,ACB,ACB,ACB,ACB,VCB,VCB,VCB,VCB,VCB,VCB,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,SP500,SP500,SP500,SP500,SP500,SP500,NASDAQ,NASDAQ,NASDAQ,NASDAQ,NASDAQ,NASDAQ,VNM,VNM,VNM,VNM,VNM,VNM,FPT,FPT,FPT,FPT,FPT,FPT,GAS,GAS,GAS,GAS,GAS,GAS,BID,BID,BID,BID,BID,BID
Stock Info,Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume
0,2015-01-05,9068.6,9200.0,9068.6,9134.3,78074.0,2015-01-05,4015.5,4015.5,3963.3,3989.4,205356.0,2015-01-05,16716.0,16927.0,16558.0,16822.0,534023.0,2015-01-02,27.85,27.86,26.84,27.33,212818496,2015-01-02,2058.9,2072.4,2046.0,2058.2,0.0,2015-01-02,4760.24,4777.01,4698.11,4726.81,367738144.0,2015-01-05,66667.0,67014.0,66319.0,66667.0,101218.0,2015-01-05,11997.7,12047.7,11897.7,11947.7,835215.0,2015-01-05,70000.0,70500.0,68500.0,69000.0,319840.0,2015-01-05,8197.0,8260.6,8197.0,8197.0,87396.0
1,2015-01-06,9134.3,9397.2,9068.6,9200.0,161350.0,2015-01-06,3963.3,4041.5,3937.2,4041.5,329971.0,2015-01-06,16822.0,17929.0,16822.0,17929.0,2901891.0,2015-01-05,27.07,27.16,26.35,26.56,257141968,2015-01-05,2054.4,2054.4,2017.3,2020.6,0.0,2015-01-05,4700.34,4702.77,4641.46,4652.57,476454400.0,2015-01-06,66667.0,67361.0,65972.0,66667.0,145282.0,2015-01-06,11872.7,12022.7,11822.7,12022.7,1111534.0,2015-01-06,67000.0,68500.0,67000.0,68000.0,345050.0,2015-01-06,8133.5,8451.2,8133.5,8387.7,530814.0
2,2015-01-07,9200.0,9528.6,9200.0,9462.9,603516.0,2015-01-07,4041.5,4171.9,4041.5,4093.7,855631.0,2015-01-07,17982.0,18245.0,17454.0,17718.0,2463903.0,2015-01-06,26.64,26.86,26.16,26.57,263188464,2015-01-06,2022.2,2030.2,1992.4,2002.6,0.0,2015-01-06,4666.85,4667.33,4567.6,4592.74,553615808.0,2015-01-07,66667.0,68403.0,66667.0,68056.0,279547.0,2015-01-07,12022.7,12272.6,12022.7,12097.7,1238274.0,2015-01-07,67000.0,69500.0,67000.0,69000.0,509250.0,2015-01-07,8387.7,8641.8,8324.1,8641.8,1093608.0
3,2015-01-08,9397.2,9462.9,9265.7,9265.7,391946.0,2015-01-08,4093.7,4119.8,4067.6,4119.8,54675.0,2015-01-08,17771.0,18456.0,17718.0,18245.0,1557643.0,2015-01-07,26.8,27.05,26.67,26.94,160423744,2015-01-07,2005.5,2029.6,2005.5,2025.9,0.0,2015-01-07,4626.84,4652.72,4613.9,4650.47,482505472.0,2015-01-08,68056.0,68750.0,67708.0,68403.0,101736.0,2015-01-08,12072.7,12097.7,11947.7,11972.7,694003.0,2015-01-08,70000.0,70500.0,69500.0,69500.0,290220.0,2015-01-08,8641.8,8768.9,8514.7,8641.8,1050964.0
4,2015-01-09,9397.2,9660.0,9331.4,9528.6,1119691.0,2015-01-09,4119.8,4250.1,4067.6,4145.8,2548668.0,2015-01-09,18404.0,19511.0,18404.0,19458.0,3939034.0,2015-01-08,27.31,28.04,27.18,27.97,237458192,2015-01-08,2030.6,2064.1,2030.6,2062.1,0.0,2015-01-08,4689.54,4741.38,4688.02,4736.19,548099008.0,2015-01-09,69097.0,71528.0,68750.0,71528.0,418162.0,2015-01-09,11972.7,12122.7,11972.7,12072.7,977680.0,2015-01-09,70000.0,74000.0,70000.0,74000.0,859620.0,2015-01-09,8641.8,9213.7,8641.8,9213.7,4333303.0
5,2015-01-12,9594.3,9922.9,9528.6,9660.0,2691617.0,2015-01-12,4171.9,4276.2,4145.8,4198.0,1353417.0,2015-01-12,19511.0,19933.0,19353.0,19616.0,5270690.0,2015-01-09,28.17,28.31,27.55,28.0,214798112,2015-01-09,2063.4,2064.4,2038.3,2044.8,0.0,2015-01-09,4744.47,4744.71,4681.24,4704.07,430668480.0,2015-01-12,71528.0,71528.0,69444.0,69444.0,213797.0,2015-01-12,12072.7,12297.6,12072.7,12147.6,2073307.0,2015-01-12,79000.0,79000.0,79000.0,79000.0,671210.0,2015-01-12,9531.4,9849.2,9467.9,9849.2,4620138.0
6,2015-01-13,9791.4,10317.2,9725.7,10185.7,1848289.0,2015-01-13,4198.0,4354.4,4198.0,4302.3,1528584.0,2015-01-13,19511.0,19669.0,19247.0,19511.0,2577491.0,2015-01-12,28.15,28.16,27.2,27.31,198603168,2015-01-12,2046.1,2049.3,2022.6,2028.3,0.0,2015-01-12,4714.07,4715.81,4650.65,4664.71,491280896.0,2015-01-13,69444.0,70833.0,69097.0,70833.0,121752.0,2015-01-13,12097.7,12197.6,12097.7,12172.6,739069.0,2015-01-13,78000.0,82000.0,78000.0,80500.0,1270070.0,2015-01-13,9912.7,10484.6,9912.7,10421.0,5581783.0
7,2015-01-14,10317.2,10448.6,9922.9,10120.0,1684616.0,2015-01-14,4302.3,4302.3,4198.0,4224.0,1103872.0,2015-01-14,19405.0,20091.0,19405.0,19722.0,4028850.0,2015-01-13,27.86,28.2,27.23,27.55,268367712,2015-01-13,2031.6,2056.9,2008.2,2023.0,0.0,2015-01-13,4708.74,4751.34,4624.28,4661.5,566516736.0,2015-01-14,71528.0,71528.0,69444.0,70139.0,126072.0,2015-01-14,12172.6,12222.6,12047.7,12147.6,1285783.0,2015-01-14,79000.0,79500.0,76500.0,77500.0,705280.0,2015-01-14,10294.0,10738.8,10103.3,10357.5,4774944.0
8,2015-01-15,10120.0,10382.9,9988.6,9988.6,918007.0,2015-01-15,4198.0,4224.0,4145.8,4145.8,900103.0,2015-01-15,19616.0,19933.0,19405.0,19405.0,1866919.0,2015-01-14,27.26,27.62,27.12,27.45,195826352,2015-01-14,2018.4,2018.4,1988.4,2011.3,0.0,2015-01-14,4610.76,4655.37,4595.98,4639.32,527383584.0,2015-01-15,70139.0,70139.0,69097.0,69444.0,123970.0,2015-01-15,12197.6,12197.6,12097.7,12172.6,860741.0,2015-01-15,78000.0,79000.0,77000.0,78500.0,403100.0,2015-01-15,10357.5,10738.8,10357.5,10421.0,5075142.0
